method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_b1,b1,normalized,3,3654,0,1.0,1.0,1.0,0.0,-0.0,1.0,0.001964107919421352,0.002351908208202265,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_b1,b1,normalized,3,3654,25,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019989663603959883,0.002004137812179811,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
ebsw_full_b1,b1,normalized,3,3654,50,1.0,1.0,1.0,0.0,-0.0,1.0,0.001999067297427334,0.0020026769009971446,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc
ebsw_full_b1,b1,normalized,3,3654,100,1.0,1.0,1.0,0.0,-0.0,1.0,0.001999173120996481,0.0020019466393440518,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f
ebsw_full_b1,b1,normalized,3,3654,200,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992647310770207,0.0020018894095442338,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2
ebsw_full_b1,b1,normalized,3,3654,300,1.0,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.001999251063046239,0.0020017522046436244,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e
ebsw_full_b1,b1,normalized,3,3654,400,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992886690664434,0.0020018575473732332,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95
ebsw_full_b1,b1,normalized,3,3654,500,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992701063373994,0.0020027147138439922,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b
