method,calibration,update,subject,seed,epoch,beta_t,LEW_before,LEW_after_full,LEW_after_stop,LEW_after_stop_normmatched,delta_LEW_full,delta_LEW_stop,delta_LEW_stop_normmatched,full_minus_stop_delta_LEW,full_minus_normmatched_delta_LEW,norm_ratio_full_over_stop,bank_seed,bank_hash,diagnostic_ms
ebsw_full_b1,b1,normalized,1,1788,0,1.0,7.00240537723237,6.7601443527452085,6.761808933129233,6.760282048264789,-0.2422610244871617,-0.2405964441031374,-0.24212332896758149,-0.0016645803840242834,-0.00013769551958020543,1.0071249494432444,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,56.140603963285685
ebsw_full_b1,b1,normalized,1,1788,25,1.0,5.675308234813882,5.6685748311311865,5.6685731488717375,5.668573281808216,-0.0067334036826958155,-0.006735085942144892,-0.006734953005666178,1.6822594490761844e-06,1.5493229703622546e-06,1.0000614947649618,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,55.604432011023164
ebsw_full_b1,b1,normalized,1,1788,50,1.0,5.464846807507204,5.461588184463673,5.461587402184655,5.461587648612226,-0.0032586230435311947,-0.0032594053225487585,-0.003259158894977965,7.822790175637806e-07,5.358514467701525e-07,1.0000503886792265,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,62.99882009625435
ebsw_full_b1,b1,normalized,1,1788,100,1.0,5.263235925142358,5.255622893187563,5.255622966962425,5.2556230121455325,-0.007613031954795346,-0.007612958179933571,-0.007612912996825649,-7.377486177517767e-08,-1.1895796969696448e-07,1.000044202502028,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,57.59198288433254
ebsw_full_b1,b1,normalized,1,1788,200,1.0,5.030341376900887,5.012880968139438,5.012881677261171,5.012881340970615,-0.017460408761449386,-0.017459699639716497,-0.0174600359302719,-7.09121732889173e-07,-3.7283117748643235e-07,1.0000391155805302,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,42.819841066375375
ebsw_full_b1,b1,normalized,1,1788,300,1.0,4.78036930866908,4.772949312238858,4.772948577099152,4.772948640429196,-0.007419996430221509,-0.007420731569927952,-0.007420668239883632,7.351397064425669e-07,6.718096621227687e-07,1.0000425580977208,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,57.85689107142389
ebsw_full_b1,b1,normalized,1,1788,400,1.0,4.608742668533479,4.602815005691823,4.602814871382118,4.602814964371863,-0.005927662841656023,-0.005927797151360714,-0.005927704161615921,1.3430970469130443e-07,4.1319959898089564e-08,1.0000310587673316,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,44.10287784412503
ebsw_full_b1,b1,normalized,1,1788,500,1.0,4.396293693930881,4.38389341236601,4.383893910599525,4.383893791173013,-0.012400281564870497,-0.012399783331355607,-0.012399902757867842,-4.982335148895345e-07,-3.7880700265446876e-07,1.0000351943157446,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,51.10528599470854
